,categorie,pays,unite,valeur
1000,Individuals never worked from home,European Union - 27 countries (from 2020),Percentage of individuals,25
1001,Individuals never worked from home,European Union - 27 countries (from 2020),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",62
1002,Individuals never worked from home,European Union - 27 countries (from 2020),Percentage of employees and self-employed who used internet within the last year,46
1003,Individuals never worked from home,European Union - 27 countries (from 2020),Percentage of individuals working from home,888
1004,Individuals never worked from home,European Union - 27 countries (from 2020),Percentage of individuals working at an external site or on the move,888
1005,Individuals never worked from home,European Union - 28 countries (2013-2020),Percentage of individuals,25
1006,Individuals never worked from home,European Union - 28 countries (2013-2020),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",60
1007,Individuals never worked from home,European Union - 28 countries (2013-2020),Percentage of employees and self-employed who used internet within the last year,44
1008,Individuals never worked from home,European Union - 28 countries (2013-2020),Percentage of individuals working from home,888
1009,Individuals never worked from home,European Union - 28 countries (2013-2020),Percentage of individuals working at an external site or on the move,888
1010,Individuals never worked from home,European Union - 27 countries (2007-2013),Percentage of individuals,25
1011,Individuals never worked from home,European Union - 27 countries (2007-2013),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",60
1012,Individuals never worked from home,European Union - 27 countries (2007-2013),Percentage of employees and self-employed who used internet within the last year,44
1013,Individuals never worked from home,European Union - 27 countries (2007-2013),Percentage of individuals working from home,888
1014,Individuals never worked from home,European Union - 27 countries (2007-2013),Percentage of individuals working at an external site or on the move,888
1015,Individuals never worked from home,European Union - 15 countries (1995-2004),Percentage of individuals,26
1016,Individuals never worked from home,European Union - 15 countries (1995-2004),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",58
1017,Individuals never worked from home,European Union - 15 countries (1995-2004),Percentage of employees and self-employed who used internet within the last year,46
1018,Individuals never worked from home,European Union - 15 countries (1995-2004),Percentage of individuals working from home,888
1019,Individuals never worked from home,European Union - 15 countries (1995-2004),Percentage of individuals working at an external site or on the move,888
1020,Individuals never worked from home,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Percentage of individuals,27
1021,Individuals never worked from home,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",62
1022,Individuals never worked from home,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Percentage of employees and self-employed who used internet within the last year,49
1023,Individuals never worked from home,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Percentage of individuals working from home,888
1024,Individuals never worked from home,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Percentage of individuals working at an external site or on the move,888
1025,Individuals never worked from home,Belgium,Percentage of individuals,23
1026,Individuals never worked from home,Belgium,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",54
1027,Individuals never worked from home,Belgium,Percentage of employees and self-employed who used internet within the last year,43
1028,Individuals never worked from home,Belgium,Percentage of individuals working from home,888
1029,Individuals never worked from home,Belgium,Percentage of individuals working at an external site or on the move,888
1030,Individuals never worked from home,Bulgaria,Percentage of individuals,15
1031,Individuals never worked from home,Bulgaria,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",71
1032,Individuals never worked from home,Bulgaria,Percentage of employees and self-employed who used internet within the last year,33
1033,Individuals never worked from home,Bulgaria,Percentage of individuals working from home,888
1034,Individuals never worked from home,Bulgaria,Percentage of individuals working at an external site or on the move,888
1035,Individuals never worked from home,Czechia,Percentage of individuals,888
1036,Individuals never worked from home,Czechia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",888
1037,Individuals never worked from home,Czechia,Percentage of employees and self-employed who used internet within the last year,888
1038,Individuals never worked from home,Czechia,Percentage of individuals working from home,888
1039,Individuals never worked from home,Czechia,Percentage of individuals working at an external site or on the move,888
1040,Individuals never worked from home,Denmark,Percentage of individuals,22
1041,Individuals never worked from home,Denmark,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",43
1042,Individuals never worked from home,Denmark,Percentage of employees and self-employed who used internet within the last year,39
1043,Individuals never worked from home,Denmark,Percentage of individuals working from home,888
1044,Individuals never worked from home,Denmark,Percentage of individuals working at an external site or on the move,888
1045,Individuals never worked from home,Germany (until 1990 former territory of the FRG),Percentage of individuals,37
1046,Individuals never worked from home,Germany (until 1990 former territory of the FRG),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",69
1047,Individuals never worked from home,Germany (until 1990 former territory of the FRG),Percentage of employees and self-employed who used internet within the last year,57
1048,Individuals never worked from home,Germany (until 1990 former territory of the FRG),Percentage of individuals working from home,888
1049,Individuals never worked from home,Germany (until 1990 former territory of the FRG),Percentage of individuals working at an external site or on the move,888
1050,Individuals never worked from home,Estonia,Percentage of individuals,26
1051,Individuals never worked from home,Estonia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",54
1052,Individuals never worked from home,Estonia,Percentage of employees and self-employed who used internet within the last year,41
1053,Individuals never worked from home,Estonia,Percentage of individuals working from home,888
1054,Individuals never worked from home,Estonia,Percentage of individuals working at an external site or on the move,888
1055,Individuals never worked from home,Ireland,Percentage of individuals,23
1056,Individuals never worked from home,Ireland,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",67
1057,Individuals never worked from home,Ireland,Percentage of employees and self-employed who used internet within the last year,48
1058,Individuals never worked from home,Ireland,Percentage of individuals working from home,888
1059,Individuals never worked from home,Ireland,Percentage of individuals working at an external site or on the move,888
1060,Individuals never worked from home,Greece,Percentage of individuals,14
1061,Individuals never worked from home,Greece,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",61
1062,Individuals never worked from home,Greece,Percentage of employees and self-employed who used internet within the last year,37
1063,Individuals never worked from home,Greece,Percentage of individuals working from home,888
1064,Individuals never worked from home,Greece,Percentage of individuals working at an external site or on the move,888
1065,Individuals never worked from home,Spain,Percentage of individuals,21
1066,Individuals never worked from home,Spain,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",58
1067,Individuals never worked from home,Spain,Percentage of employees and self-employed who used internet within the last year,42
1068,Individuals never worked from home,Spain,Percentage of individuals working from home,888
1069,Individuals never worked from home,Spain,Percentage of individuals working at an external site or on the move,888
1070,Individuals never worked from home,France,Percentage of individuals,25
1071,Individuals never worked from home,France,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",59
1072,Individuals never worked from home,France,Percentage of employees and self-employed who used internet within the last year,47
1073,Individuals never worked from home,France,Percentage of individuals working from home,888
1074,Individuals never worked from home,France,Percentage of individuals working at an external site or on the move,888
1075,Individuals never worked from home,Croatia,Percentage of individuals,22
1076,Individuals never worked from home,Croatia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",73
1077,Individuals never worked from home,Croatia,Percentage of employees and self-employed who used internet within the last year,51
1078,Individuals never worked from home,Croatia,Percentage of individuals working from home,888
1079,Individuals never worked from home,Croatia,Percentage of individuals working at an external site or on the move,888
1080,Individuals never worked from home,Italy,Percentage of individuals,22
1081,Individuals never worked from home,Italy,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",67
1082,Individuals never worked from home,Italy,Percentage of employees and self-employed who used internet within the last year,49
1083,Individuals never worked from home,Italy,Percentage of individuals working from home,888
1084,Individuals never worked from home,Italy,Percentage of individuals working at an external site or on the move,888
1085,Individuals never worked from home,Cyprus,Percentage of individuals,30
1086,Individuals never worked from home,Cyprus,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",84
1087,Individuals never worked from home,Cyprus,Percentage of employees and self-employed who used internet within the last year,53
1088,Individuals never worked from home,Cyprus,Percentage of individuals working from home,888
1089,Individuals never worked from home,Cyprus,Percentage of individuals working at an external site or on the move,888
1090,Individuals never worked from home,Latvia,Percentage of individuals,23
1091,Individuals never worked from home,Latvia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",59
1092,Individuals never worked from home,Latvia,Percentage of employees and self-employed who used internet within the last year,38
1093,Individuals never worked from home,Latvia,Percentage of individuals working from home,888
1094,Individuals never worked from home,Latvia,Percentage of individuals working at an external site or on the move,888
1095,Individuals never worked from home,Lithuania,Percentage of individuals,25
1096,Individuals never worked from home,Lithuania,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",67
1097,Individuals never worked from home,Lithuania,Percentage of employees and self-employed who used internet within the last year,44
1098,Individuals never worked from home,Lithuania,Percentage of individuals working from home,888
1099,Individuals never worked from home,Lithuania,Percentage of individuals working at an external site or on the move,888
1100,Individuals never worked from home,Luxembourg,Percentage of individuals,25
1101,Individuals never worked from home,Luxembourg,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",53
1102,Individuals never worked from home,Luxembourg,Percentage of employees and self-employed who used internet within the last year,44
1103,Individuals never worked from home,Luxembourg,Percentage of individuals working from home,888
1104,Individuals never worked from home,Luxembourg,Percentage of individuals working at an external site or on the move,888
1105,Individuals never worked from home,Hungary,Percentage of individuals,18
1106,Individuals never worked from home,Hungary,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",60
1107,Individuals never worked from home,Hungary,Percentage of employees and self-employed who used internet within the last year,35
1108,Individuals never worked from home,Hungary,Percentage of individuals working from home,888
1109,Individuals never worked from home,Hungary,Percentage of individuals working at an external site or on the move,888
1110,Individuals never worked from home,Malta,Percentage of individuals,28
1111,Individuals never worked from home,Malta,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",57
1112,Individuals never worked from home,Malta,Percentage of employees and self-employed who used internet within the last year,47
1113,Individuals never worked from home,Malta,Percentage of individuals working from home,888
1114,Individuals never worked from home,Malta,Percentage of individuals working at an external site or on the move,888
1115,Individuals never worked from home,Netherlands,Percentage of individuals,28
1116,Individuals never worked from home,Netherlands,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",47
1117,Individuals never worked from home,Netherlands,Percentage of employees and self-employed who used internet within the last year,43
1118,Individuals never worked from home,Netherlands,Percentage of individuals working from home,888
1119,Individuals never worked from home,Netherlands,Percentage of individuals working at an external site or on the move,888
1120,Individuals never worked from home,Austria,Percentage of individuals,32
1121,Individuals never worked from home,Austria,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",66
1122,Individuals never worked from home,Austria,Percentage of employees and self-employed who used internet within the last year,54
1123,Individuals never worked from home,Austria,Percentage of individuals working from home,888
1124,Individuals never worked from home,Austria,Percentage of individuals working at an external site or on the move,888
1125,Individuals never worked from home,Poland,Percentage of individuals,20
1126,Individuals never worked from home,Poland,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",62
1127,Individuals never worked from home,Poland,Percentage of employees and self-employed who used internet within the last year,37
1128,Individuals never worked from home,Poland,Percentage of individuals working from home,888
1129,Individuals never worked from home,Poland,Percentage of individuals working at an external site or on the move,888
1130,Individuals never worked from home,Portugal,Percentage of individuals,25
1131,Individuals never worked from home,Portugal,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",69
1132,Individuals never worked from home,Portugal,Percentage of employees and self-employed who used internet within the last year,49
1133,Individuals never worked from home,Portugal,Percentage of individuals working from home,888
1134,Individuals never worked from home,Portugal,Percentage of individuals working at an external site or on the move,888
1135,Individuals never worked from home,Romania,Percentage of individuals,14
1136,Individuals never worked from home,Romania,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",77
1137,Individuals never worked from home,Romania,Percentage of employees and self-employed who used internet within the last year,27
1138,Individuals never worked from home,Romania,Percentage of individuals working from home,888
1139,Individuals never worked from home,Romania,Percentage of individuals working at an external site or on the move,888
1140,Individuals never worked from home,Slovenia,Percentage of individuals,25
1141,Individuals never worked from home,Slovenia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",63
1142,Individuals never worked from home,Slovenia,Percentage of employees and self-employed who used internet within the last year,46
1143,Individuals never worked from home,Slovenia,Percentage of individuals working from home,888
1144,Individuals never worked from home,Slovenia,Percentage of individuals working at an external site or on the move,888
1145,Individuals never worked from home,Slovakia,Percentage of individuals,22
1146,Individuals never worked from home,Slovakia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",62
1147,Individuals never worked from home,Slovakia,Percentage of employees and self-employed who used internet within the last year,38
1148,Individuals never worked from home,Slovakia,Percentage of individuals working from home,888
1149,Individuals never worked from home,Slovakia,Percentage of individuals working at an external site or on the move,888
1150,Individuals never worked from home,Finland,Percentage of individuals,23
1151,Individuals never worked from home,Finland,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",46
1152,Individuals never worked from home,Finland,Percentage of employees and self-employed who used internet within the last year,40
1153,Individuals never worked from home,Finland,Percentage of individuals working from home,888
1154,Individuals never worked from home,Finland,Percentage of individuals working at an external site or on the move,888
1155,Individuals never worked from home,Sweden,Percentage of individuals,888
1156,Individuals never worked from home,Sweden,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",888
1157,Individuals never worked from home,Sweden,Percentage of employees and self-employed who used internet within the last year,888
1158,Individuals never worked from home,Sweden,Percentage of individuals working from home,888
1159,Individuals never worked from home,Sweden,Percentage of individuals working at an external site or on the move,888
1160,Individuals never worked from home,United Kingdom,Percentage of individuals,23
1161,Individuals never worked from home,United Kingdom,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",46
1162,Individuals never worked from home,United Kingdom,Percentage of employees and self-employed who used internet within the last year,36
1163,Individuals never worked from home,United Kingdom,Percentage of individuals working from home,888
1164,Individuals never worked from home,United Kingdom,Percentage of individuals working at an external site or on the move,888
1165,Individuals never worked from home,Iceland,Percentage of individuals,31
1166,Individuals never worked from home,Iceland,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",46
1167,Individuals never worked from home,Iceland,Percentage of employees and self-employed who used internet within the last year,39
1168,Individuals never worked from home,Iceland,Percentage of individuals working from home,888
1169,Individuals never worked from home,Iceland,Percentage of individuals working at an external site or on the move,888
1170,Individuals never worked from home,Norway,Percentage of individuals,888
1171,Individuals never worked from home,Norway,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",888
1172,Individuals never worked from home,Norway,Percentage of employees and self-employed who used internet within the last year,888
1173,Individuals never worked from home,Norway,Percentage of individuals working from home,888
1174,Individuals never worked from home,Norway,Percentage of individuals working at an external site or on the move,888
1175,Individuals never worked from home,Montenegro,Percentage of individuals,9
1176,Individuals never worked from home,Montenegro,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",50
1177,Individuals never worked from home,Montenegro,Percentage of employees and self-employed who used internet within the last year,25
1178,Individuals never worked from home,Montenegro,Percentage of individuals working from home,888
1179,Individuals never worked from home,Montenegro,Percentage of individuals working at an external site or on the move,888
1180,Individuals never worked from home,Albania,Percentage of individuals,6
1181,Individuals never worked from home,Albania,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",50
1182,Individuals never worked from home,Albania,Percentage of employees and self-employed who used internet within the last year,17
1183,Individuals never worked from home,Albania,Percentage of individuals working from home,888
1184,Individuals never worked from home,Albania,Percentage of individuals working at an external site or on the move,888
1185,Individuals never worked from home,Serbia,Percentage of individuals,14
1186,Individuals never worked from home,Serbia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",59
1187,Individuals never worked from home,Serbia,Percentage of employees and self-employed who used internet within the last year,37
1188,Individuals never worked from home,Serbia,Percentage of individuals working from home,888
1189,Individuals never worked from home,Serbia,Percentage of individuals working at an external site or on the move,888
1190,Individuals never worked from home,Bosnia and Herzegovina,Percentage of individuals,10
1191,Individuals never worked from home,Bosnia and Herzegovina,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",60
1192,Individuals never worked from home,Bosnia and Herzegovina,Percentage of employees and self-employed who used internet within the last year,31
1193,Individuals never worked from home,Bosnia and Herzegovina,Percentage of individuals working from home,888
1194,Individuals never worked from home,Bosnia and Herzegovina,Percentage of individuals working at an external site or on the move,888
1195,Individuals never worked from home,Kosovo (under United Nations Security Council Resolution 1244/99),Percentage of individuals,7
1196,Individuals never worked from home,Kosovo (under United Nations Security Council Resolution 1244/99),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",65
1197,Individuals never worked from home,Kosovo (under United Nations Security Council Resolution 1244/99),Percentage of employees and self-employed who used internet within the last year,20
1198,Individuals never worked from home,Kosovo (under United Nations Security Council Resolution 1244/99),Percentage of individuals working from home,888
1199,Individuals never worked from home,Kosovo (under United Nations Security Council Resolution 1244/99),Percentage of individuals working at an external site or on the move,888
1200,Individuals used the internet for the job when working from home,European Union - 27 countries (from 2020),Percentage of individuals,14
1201,Individuals used the internet for the job when working from home,European Union - 27 countries (from 2020),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",34
1202,Individuals used the internet for the job when working from home,European Union - 27 countries (from 2020),Percentage of employees and self-employed who used internet within the last year,25
1203,Individuals used the internet for the job when working from home,European Union - 27 countries (from 2020),Percentage of individuals working from home,92
1204,Individuals used the internet for the job when working from home,European Union - 27 countries (from 2020),Percentage of individuals working at an external site or on the move,888
1205,Individuals used the internet for the job when working from home,European Union - 28 countries (2013-2020),Percentage of individuals,15
1206,Individuals used the internet for the job when working from home,European Union - 28 countries (2013-2020),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",37
1207,Individuals used the internet for the job when working from home,European Union - 28 countries (2013-2020),Percentage of employees and self-employed who used internet within the last year,27
1208,Individuals used the internet for the job when working from home,European Union - 28 countries (2013-2020),Percentage of individuals working from home,92
1209,Individuals used the internet for the job when working from home,European Union - 28 countries (2013-2020),Percentage of individuals working at an external site or on the move,888
1210,Individuals used the internet for the job when working from home,European Union - 27 countries (2007-2013),Percentage of individuals,15
1211,Individuals used the internet for the job when working from home,European Union - 27 countries (2007-2013),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",37
1212,Individuals used the internet for the job when working from home,European Union - 27 countries (2007-2013),Percentage of employees and self-employed who used internet within the last year,27
1213,Individuals used the internet for the job when working from home,European Union - 27 countries (2007-2013),Percentage of individuals working from home,92
1214,Individuals used the internet for the job when working from home,European Union - 27 countries (2007-2013),Percentage of individuals working at an external site or on the move,888
1215,Individuals used the internet for the job when working from home,European Union - 15 countries (1995-2004),Percentage of individuals,17
